name,price,performance,volatility,dividendYield,TER,issuer,region,type,replication,sector,availability,volume,inceptionDate,currentPrice,previousClose
SPDR S&P 500,420.69,12.3,14.2,1.8,0.09,SPDR,Monde,Accumulation,Physique,Tous secteurs,Partout,5000000,1993-01-22,422.50,420.00
iShares MSCI Europe,85.20,8.1,12.1,2.5,0.15,iShares,Europe,Capitalisation,Synthétique,Tous secteurs,Europe,1200000,2000-05-15,84.50,85.00
Vanguard Technology ETF,150.55,18.5,20.3,0.7,0.12,Vanguard,USA,Accumulation,Physique,Technologie,USA,3500000,2010-03-10,153.00,150.00
Lyxor Healthcare,100.30,10.2,13.5,2.0,0.18,Lyxor,Europe,Capitalisation,Synthétique,Santé,Europe,900000,2005-08-25,100.50,101.00
Amundi Energy,48.90,4.5,16.7,3.2,0.20,Amundi,Monde,Hybride,Physique,Énergie,Partout,800000,2012-06-01,49.10,48.80
Xtrackers Financials,75.80,6.7,11.4,2.7,0.13,Xtrackers,Europe,Accumulation,Physique,Finance,Europe,1500000,2008-09-12,75.30,75.00
Invesco Real Estate,110.40,9.1,10.9,3.5,0.22,Invesco,USA,Capitalisation,Synthétique,Immobilier,USA,1800000,2011-11-20,111.00,110.50
Global Industrials ETF,130.75,7.9,13.0,2.1,0.14,GlobalFunds,Monde,Accumulation,Physique,Industrie,Partout,2200000,2003-04-18,131.00,130.00
Emerging Markets ETF,60.15,11.0,21.5,1.4,0.25,EmergingFunds,Asie,Capitalisation,Synthétique,Tous secteurs,Asie,1000000,2014-02-07,60.00,60.10
S&P Dividend ETF,95.10,5.5,9.5,4.1,0.10,SPDR,Monde,Accumulation,Physique,Tous secteurs,Partout,2500000,1998-07-01,95.50,95.00
Tech Leaders ETF,140.20,15.8,18.7,0.6,0.11,TechFunds,USA,Capitalisation,Synthétique,Technologie,USA,2700000,2013-09-05,140.50,139.50
European Financial ETF,70.30,6.2,11.0,2.8,0.14,EuroFunds,Europe,Accumulation,Physique,Finance,Europe,1300000,2006-10-23,70.00,70.10
Global Health ETF,105.00,9.9,12.2,2.9,0.16,GlobalFunds,Monde,Capitalisation,Synthétique,Santé,Partout,2100000,2007-12-11,105.50,105.00
Energy Plus ETF,55.25,3.8,17.4,3.0,0.19,EnergyFunds,Monde,Accumulation,Physique,Énergie,Partout,900000,2015-05-30,54.90,55.00
Real Estate Leaders,115.60,7.1,10.5,3.3,0.21,RealFunds,USA,Capitalisation,Synthétique,Immobilier,USA,1400000,2012-07-19,116.00,115.50
Industrial Growth ETF,125.80,8.4,13.7,2.2,0.15,IndusFunds,Monde,Accumulation,Physique,Industrie,Partout,2000000,2004-03-10,126.50,125.00
Asia Pacific ETF,65.40,10.5,16.8,1.9,0.17,AsiaFunds,Asie,Capitalisation,Synthétique,Tous secteurs,Asie,1100000,2010-01-21,65.00,65.20
Dividend Growth ETF,90.50,6.0,9.0,3.7,0.12,DividendFunds,Monde,Accumulation,Physique,Tous secteurs,Partout,1800000,2001-08-29,90.70,90.40
Tech Innovators,145.90,17.2,19.8,0.5,0.10,TechFunds,USA,Capitalisation,Synthétique,Technologie,USA,2800000,2014-04-07,146.50,145.00
European Energy ETF,50.10,4.1,15.6,3.1,0.20,EuroEnergy,Europe,Accumulation,Physique,Énergie,Europe,850000,2009-02-14,50.00,50.20
Global Finance ETF,72.80,7.0,11.7,2.6,0.13,GlobalFunds,Monde,Capitalisation,Synthétique,Finance,Partout,1600000,2003-11-05,73.00,72.50
Healthcare Innovators,108.70,10.8,12.5,3.0,0.15,HealthFunds,Monde,Accumulation,Physique,Santé,Partout,2300000,2008-08-30,109.00,108.50
Energy Sector Leaders,58.20,5.2,16.1,3.4,0.18,EnergyFunds,Monde,Capitalisation,Synthétique,Énergie,Partout,1000000,2011-01-12,58.00,58.30
Real Estate Income,120.45,6.9,10.3,3.8,0.22,RealFunds,USA,Accumulation,Physique,Immobilier,USA,1250000,2013-06-18,120.80,120.00
Industrial Leaders ETF,128.30,8.1,14.0,2.0,0.16,IndusFunds,Monde,Capitalisation,Synthétique,Industrie,Partout,2100000,2005-09-28,128.00,128.50
Asia Growth ETF,68.90,12.4,18.3,1.7,0.19,AsiaFunds,Asie,Accumulation,Physique,Tous secteurs,Asie,1150000,2011-12-02,69.20,68.80
Dividend Select ETF,92.10,5.8,9.8,3.6,0.13,DividendFunds,Monde,Capitalisation,Synthétique,Tous secteurs,Partout,1750000,2002-07-14,92.50,91.80
Tech Growth ETF,147.50,16.7,20.0,0.4,0.10,TechFunds,USA,Accumulation,Physique,Technologie,USA,3000000,2015-03-25,147.00,146.50
